,ranking,titulo,autor,precio_euros,puntuacion,num_reviews,portada
75,76,"La guía definitiva de caligrafía moderna y lettering a mano para principiantes: Aprende a dibujar letras: un cuaderno de actividades que incluye consejos, técnicas, páginas para practicar y proyectos",June & Lucy,"7,99 ","4,5",3.408,"https://images-eu.ssl-images-amazon.com/images/I/71kVlpyzn-L._AC_UL300_SR300,200_.jpg"
76,77,Aprende a dibujar con Pokémon (Colección Pokémon),The Pokémon Company The Pokémon Company,"3,99 ","4,5",840,"https://images-eu.ssl-images-amazon.com/images/I/81XSVNri4PL._AC_UL300_SR300,200_.jpg"
77,78,"Elden Ring: Los Libros Del Saber, Volumen I: Las Tierras Intermedias",Bandai Namco Entertainment Inc.,"54,36 ","4,1",7,"https://images-eu.ssl-images-amazon.com/images/I/41AtkZQswwL._AC_UL300_SR300,200_.jpg"
78,79,El Unicornio rayo de Luna: Leer Con Susaeta - Nivel 0 (Aprendo a LEER con Susaeta - nivel 0),Estelle Talavera,"3,74 ","4,7",461,"https://images-eu.ssl-images-amazon.com/images/I/618EWVMl71S._AC_UL300_SR300,200_.jpg"
79,80,Meditaciones (Serie Great Ideas 12),Marco Aurelio,"6,64 ","4,6",1.772,"https://images-eu.ssl-images-amazon.com/images/I/815BrhsCfcS._AC_UL300_SR300,200_.jpg"
80,81,Harry Potter y la Orden del Fénix - Ed. Ilustrada (Harry Potter [edición ilustrada] 5),J.K. Rowling,"36,10 ","4,7",1.860,"https://images-eu.ssl-images-amazon.com/images/I/91Pom3eWplL._AC_UL300_SR300,200_.jpg"
81,82,Una nueva humanidad: la tierra en 5D,Ama Cascales Linares,"11,44 ","5,0",1,"https://images-eu.ssl-images-amazon.com/images/I/61ZhQ6jwOUL._AC_UL300_SR300,200_.jpg"
82,83,Las 48 leyes del poder (FUERA DE COLECCIÓN Y ONE SHOT),Robert Greene / Joost Elffers,"22,70 ","4,6",2.678,"https://images-eu.ssl-images-amazon.com/images/I/61vMPKK9lYL._AC_UL300_SR300,200_.jpg"
83,84,El príncipe de la niebla (Biblioteca Carlos Ruiz Zafón),Carlos Ruiz Zafón,"4,13 ","4,6",2.980,"https://images-eu.ssl-images-amazon.com/images/I/81KzqRjOSiL._AC_UL300_SR300,200_.jpg"
84,85,"Me quiero, te quiero: Una guía para desarrollar relaciones sanas (y mejorar las que ya tienes) (Bruguera Tendencias)",María Esclapez,"17,95 ","4,7",830,"https://images-eu.ssl-images-amazon.com/images/I/71AYntUE8mL._AC_UL300_SR300,200_.jpg"
85,86,Mitos Griegos (Colección Cucaña) - 9788431690656,Miguel Tristan,"6,77 ","4,7",1.562,"https://images-eu.ssl-images-amazon.com/images/I/816shPn5vHL._AC_UL300_SR300,200_.jpg"
86,87,Antes de diciembre (edición revisada por la autora) (Meses a tu lado 1),Joana Marcús,"14,00 ","4,6",4.532,"https://images-eu.ssl-images-amazon.com/images/I/71OzOdID0-L._AC_UL300_SR300,200_.jpg"
87,88,Supervivir. Vuelve al origen y recupera tu salud: Reconecta con la naturaleza y aleja la enfermedad (Crecimiento personal),Carlos Stro,"18,90 ","5,0",8,"https://images-eu.ssl-images-amazon.com/images/I/81XT13p1GOL._AC_UL300_SR300,200_.jpg"
88,89,EL SUTIL ARTE DE QUE (CASI TODO) TE IMPORTE UNA MIERDA: 2805 (HARPERCOLLINS),MARK MANSON,"5,79 ","4,3",5.337,"https://images-eu.ssl-images-amazon.com/images/I/7116adcs+HL._AC_UL300_SR300,200_.jpg"
89,90,101 cosas que deberías hacer antes de ser mayor (geoPlaneta Kids),WELDON OWEN INC,"8,06 ","4,6",1.207,"https://images-eu.ssl-images-amazon.com/images/I/71hjI70aKDL._AC_UL300_SR300,200_.jpg"
90,91,"Amigos, amantes y aquello tan terrible (Contraluz)",Matthew Perry,"21,37 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/61rAQlAtTzL._AC_UL300_SR300,200_.jpg"
91,92,"La guía para principiantes de caligrafía moderna y lettering a mano para niños: Un divertido cuaderno de actividades con técnicas paso a paso, ... con los que los más pequeños aprenderán",June & Lucy Kids,"6,31 ","4,6",1.571,"https://images-eu.ssl-images-amazon.com/images/I/511emkJdYZL._AC_UL300_SR300,200_.jpg"
92,93,El Día que mi Hija me llamó Zorra: Claves para educar en la Adolescencia (Padres y educadores),Sara Desirée Ruiz,"18,05 ","4,4",139,"https://images-eu.ssl-images-amazon.com/images/I/81AnVFAMUVL._AC_UL300_SR300,200_.jpg"
93,94,Amanda Black 1 - Una herencia peligrosa,Juan Gómez-Jurado,"13,21 ","4,7",1.155,"https://images-eu.ssl-images-amazon.com/images/I/81qHslHVeBL._AC_UL300_SR300,200_.jpg"
94,95,"Eres una Chica Increíble: Un libro infantil especial sobre la valentía, la fuerza interior y la autoestima para niñas maravillosas como tú",Oliva Hernández Pantoja,"10,68 ","4,7",86,"https://images-eu.ssl-images-amazon.com/images/I/71RMt87rWVL._AC_UL300_SR300,200_.jpg"
95,96,Anna Kadabra 1. El Club de la Luna Llena,Pedro Mañas,"9,45 ","4,8",935,"https://images-eu.ssl-images-amazon.com/images/I/91jH2-++YPL._AC_UL300_SR300,200_.jpg"
96,97,Netter Cuaderno de anatomía para colorear - 2ª Edición: 2ª ed. revisada,John T. Hansen PhD,"19,08 ","4,8",5.626,"https://images-eu.ssl-images-amazon.com/images/I/81XP6k3jOtL._AC_UL300_SR300,200_.jpg"
97,98,La casa de las 100 palabras (Castellano - A PARTIR DE 0 AÑOS - PROYECTO DE 0 A 3 AÑOS - Libros manipulativos),Anton Poitier,"2,80 ","4,6",14,"https://images-eu.ssl-images-amazon.com/images/I/71WYhG42LNL._AC_UL300_SR300,200_.jpg"
98,99,Los Reyes Magos - Minipops,Meritxell Martí Orriols,"10,77 ","4,7",369,"https://images-eu.ssl-images-amazon.com/images/I/714ayUTnb8L._AC_UL300_SR300,200_.jpg"
99,100,¿A qué sabe la luna? [Español] (Clásicos contemporáneos),Michael Greniec,"10,64 ","4,7",1.755,"https://images-eu.ssl-images-amazon.com/images/I/81JCiuh68+L._AC_UL300_SR300,200_.jpg"
